,Symbol,4Y_Geometric_Avg_ROIC,Status,Years_Available,PB_Ratio,4Y_Geometric_Avg_ROIC_Pct
240,HBAN,,Success,4,1.35446352923053,nan%
423,STT,,Success,4,1.35482552127173,nan%
393,O,0.027603260700489,Success,4,1.3751634597422,2.76%
253,IP,0.077606468155991,Success,4,1.37781432541258,7.76%
36,APA,0.24048758111029,Success,4,1.38191870709035,24.05%
80,CZR,0.076363825462181,Success,4,1.38406919011265,7.64%
396,RF,,Success,4,1.38979286120151,nan%
456,USB,,Success,4,1.39118889904066,nan%
163,EIX,0.031818424726885,Success,4,1.39195169996674,3.18%
158,DD,0.044642681778358,Success,4,1.41179246995607,4.46%
172,EQT,0.115647652047215,Success,4,1.43252459749553,11.56%
85,KMX,0.017592578110706,Success,4,1.45289933175253,1.76%
274,KIM,0.02897879654953,Success,4,1.45638879948503,2.90%
144,DVN,0.208059862903922,Success,4,1.45804299168039,20.81%
296,LYB,0.142210570850005,Success,4,1.47757042158425,14.22%
119,ED,0.037183615985813,Success,4,1.48326444397167,3.72%
181,ES,0.045712528084757,Success,4,1.49546434238886,4.57%
41,ACGL,,Success,4,1.53683005655804,nan%
487,WFC,,Success,4,1.55083982616186,nan%
374,PNC,,Success,4,1.55203853693376,nan%
378,PFG,,Success,4,1.5529747590279,nan%
201,FTV,0.069179203698361,Success,4,1.55531304971008,6.92%
270,KDP,0.054769761825009,Success,4,1.56635676616104,5.48%
373,PNW,0.033570157094451,Success,4,1.57706920427511,3.36%
182,EXC,0.03361773815082,Success,4,1.58353749954291,3.36%
369,PFE,0.1288254515366,Success,4,1.5870657607999,12.88%
101,CB,,Success,4,1.59174470040788,nan%
226,DOC,0.027071761548562,Success,4,1.60136734157244,2.71%
195,FITB,,Success,4,1.60484069273194,nan%
166,ELV,,Success,4,1.6112710966667,nan%
23,AMCR,0.080005353139494,Success,4,1.62637578616352,8.00%
286,LEN,0.135401601386138,Success,4,1.62974213086171,13.54%
122,COO,0.108928513196357,Success,4,1.63056930693069,10.89%
351,OXY,0.094432894506702,Success,4,1.63658545337113,9.44%
346,NUE,0.253069213279749,Success,4,1.65208776610715,25.31%
180,EVRG,0.047421794942928,Success,4,1.65318804742206,4.74%
104,CINF,,Success,4,1.66978152289146,nan%
410,SRE,0.029458198131397,Success,4,1.71592496930177,2.95%
465,UHS,0.086028265715377,Success,4,1.7180540971141,8.60%
57,BAX,0.03456559221988,Success,4,1.71939670291126,3.46%
234,HRL,0.080863943335947,Success,4,1.74661495543308,8.09%
118,COP,0.133327309336151,Success,4,1.76355186469087,13.33%
187,XOM,0.10740674313701,Success,4,1.7758860297102,10.74%
428,SYF,,Success,4,1.78371284670497,nan%
222,HAL,0.166385403952013,Success,4,1.79252943564758,16.64%
235,HST,0.071605102015409,Success,4,1.80113930605904,7.16%
40,APTV,0.129969709942162,Success,4,1.80138879525383,13.00%
471,VZ,0.071084167823075,Success,4,1.80862379315988,7.11%
99,CVX,0.084313373285531,Success,4,1.81412790766289,8.43%
377,PPL,0.026724506023841,Success,4,1.86245083833575,2.67%
157,DUK,0.038924299659869,Success,4,1.87556497615411,3.89%
126,CTVA,0.051457326921102,Success,4,1.88083866904587,5.15%
312,MET,,Success,4,1.88705831346196,nan%
150,D,0.032756378355666,Success,4,1.89278860228345,3.28%
66,BK,,Success,4,1.89380934989043,nan%
335,NWSA,0.054691934513031,Success,4,1.89412977640312,5.47%
258,INVH,0.036782500549967,Success,4,1.91383464367233,3.68%
275,KMI,0.053929537370095,Success,4,1.91882718278327,5.39%
193,FDX,0.068747934759424,Success,4,1.9190940843351,6.87%
372,PSX,0.069095763952507,Success,4,1.92352923882045,6.91%
25,AEP,0.046021627520814,Success,4,1.92630505198733,4.60%
45,AIZ,,Success,4,1.93968606980719,nan%
